url,headline
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Hodg001.html,Hodgson shoulders England blame
http://comp20008-jh.eng.unimelb.edu.au:9889/main/OCo147.html,O'Connor aims to grab opportunity
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Vick002.html,Vickery out of Six Nations
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Tind146.html,Tindall aiming to earn Lions spot
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Yach003.html,Yachvili savours France comeback
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ODr145.html,O'Driscoll out of Scotland game
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Lapo004.html,Laporte tinkers with team
http://comp20008-jh.eng.unimelb.edu.au:9889/main/DAr144.html,D'Arcy injury adds to Ireland woe
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Lews005.html,Lewsey puzzle over disallowed try
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Ital143.html,Italy 8-38 Wales
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Fumi006.html,Fuming Robinson blasts officials
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wilk142.html,Wilkinson to miss Ireland match
http://comp20008-jh.eng.unimelb.edu.au:9889/main/OGa007.html,O'Gara revels in Ireland victory
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Engl141.html,England 17-18 France
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Thom008.html,Thomas out of Six Nations
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Llew140.html,Llewellyn plans Wales retirement
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale009.html,Wales coach elated with win
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Domi139.html,Dominici backs lacklustre France
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Newc010.html,Newcastle 27-27 Gloucester
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Vick138.html,Vickery upbeat about arm injury
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Lond011.html,London Irish 19-33 Wasps
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Tayl137.html,Taylor poised for Scotland return
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Murr012.html,Murray returns to Scotland fold
http://comp20008-jh.eng.unimelb.edu.au:9889/main/OCo136.html,O'Connell rejects Lions rumours
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Fear013.html,Fear will help France - Laporte
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Bort135.html,Bortolami predicts dour contest
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Davi014.html,Davies favours Gloucester future
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Scot134.html,Scotland 18-10 Italy
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Ref015.html,Ref stands by Scotland decisions
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Fumi133.html,Fuming Robinson blasts officials
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Robi016.html,Robinson ready for difficult task
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel132.html,Ireland 19-13 England
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Bell017.html,Bell set for England debut
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel131.html,Ireland win eclipses refereeing 'errors'
http://comp20008-jh.eng.unimelb.edu.au:9889/main/OSu018.html,O'Sullivan quick to hail Italians
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Celt130.html,Celts savour Grand Slam prospect
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Ital019.html,Italy 17-28 Ireland
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Sydn129.html,Sydney to host north v south game
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Jone020.html,Jones happy with Henson heroics
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale128.html,Wales hails new superstar
