url,headline,team,score
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Hodg001.html,Hodgson shoulders England blame,England,18-17
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Vick002.html,Vickery out of Six Nations,England,50-50
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Yach003.html,Yachvili savours France comeback,France,18-17
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Ital143.html,Italy 8-38 Wales,Italy,8-38
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Fumi006.html,Fuming Robinson blasts officials,England,19-13
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wilk142.html,Wilkinson to miss Ireland match,Ireland,18-17
http://comp20008-jh.eng.unimelb.edu.au:9889/main/OGa007.html,O'Gara revels in Ireland victory,Ireland,19-13
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Engl141.html,England 17-18 France,England,17-18
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Thom008.html,Thomas out of Six Nations,Wales,24-18
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Llew140.html,Llewellyn plans Wales retirement,Wales,50-44
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale009.html,Wales coach elated with win,Wales,24-18
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Domi139.html,Dominici backs lacklustre France,France,18-17
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Newc010.html,Newcastle 27-27 Gloucester,England,27-27
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Vick138.html,Vickery upbeat about arm injury,England,17-16
http://comp20008-jh.eng.unimelb.edu.au:9889/main/OCo136.html,O'Connell rejects Lions rumours,Ireland,42-6
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Fear013.html,Fear will help France - Laporte,France,16-9
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Bort135.html,Bortolami predicts dour contest,Italy,28-17
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Scot134.html,Scotland 18-10 Italy,Scotland,18-10
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Fumi133.html,Fuming Robinson blasts officials,England,19-13
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Robi016.html,Robinson ready for difficult task,England,11-9
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel132.html,Ireland 19-13 England,Ireland,42-6
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Bell017.html,Bell set for England debut,England,83-10
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel131.html,Ireland win eclipses refereeing 'errors',Ireland,19-13
http://comp20008-jh.eng.unimelb.edu.au:9889/main/OSu018.html,O'Sullivan quick to hail Italians,Ireland,28-17
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Ital019.html,Italy 17-28 Ireland,Italy,17-28
